ID,english,label,pred_english,conf_english
0,"Another devotee has arrived. Americans are saying that they are unemployed because of Indians... whether you are Muslim, Hindu, or Christian.Blind devotees can only see religion and nothing else.",1,0,"0.9771063923835754,0.022893648594617844"
1,"They told you about triple talaq, and now they're upset, so today they're worried about the youth.",1,0,"0.9846529364585876,0.015347020700573921"
2,"But if dogs in India eat the flesh of people with such a filthy mentality, won't their stomachs get upset? Their upbringing is so bad.
It's true, they are all sexist.
Thank God, in India, people of any religion respect women.",1,0,"0.9512173533439636,0.04878268390893936"
3,Indian soldiers are ready to kill Pakistanis 😂😂😂😂.,1,0,"0.9888188242912292,0.011181171983480453"
4,"Reading the news made me sad... today the whole day these people were showing patriotism, but tomorrow when they find out many Pakistanis were killed, they'll cry.",1,0,"0.9869884252548218,0.013011528179049492"
5,This is what we can expect from these filthy people.,1,0,"0.9518629312515259,0.04813710227608681"
6,"Tariq, what will you do with my real ID? Will you find me and kill me, or will my words only be true if I reveal my real ID? 😁😂",1,0,"0.9808846712112427,0.019115399569272995"
7,Pakistani soldiers have lost their minds. ,1,0,"0.9088804125785828,0.09111961722373962"
8,I feel this is also a publicity stunt.,1,0,"0.9888673424720764,0.011132658459246159"
9,"I'm from Delhi but live in Vapi, so where will I be counted? :D",1,0,"0.9973143935203552,0.0026855396572500467"
10,"60 years of looters, thieves, giving the right response to people...",1,0,"0.7909018397331238,0.20909814536571503"
11,"Look at the schemes from a child's birth to a girl's marriage, sir.",1,0,"0.9810903668403625,0.01890968531370163"
12,"Wearing bangles, people like you can post on FB, my brother and his fellow soldiers are not like that.",1,0,"0.999737560749054,0.000262378336628899"
13,"The one who can't be loyal to his brother-in-law, how can he be loyal to India? They buried the whole issue so well, don't even ask.",1,0,"0.828637421131134,0.17136257886886597"
14,"I hate Pakistan, and those who love Pakistan are also traitors.",1,0,"0.9150521755218506,0.08494780957698822"
15,"How long will we tolerate Pakistan? Please, PM, take some big action against Pakistanis.",1,1,"0.05546073243021965,0.9445392489433289"
16,"👍😃😄 Absolutely right, Gurnam... these people mislead others for no reason, spread rumors... don't know why they enjoy it...",1,0,"0.9055057764053345,0.09449425339698792"
17,"That video clip is from Turkistan... is all this fake news, man?",1,0,"0.9761053323745728,0.023894717916846275"
18,"I have it too, let's exchange it.",1,0,"0.9741278886795044,0.025872137397527695"
19,"Feed them local eggs, then it'll be of some use.",1,0,"0.9880445599555969,0.01195539627224207"
20,"And what about those Naxalites who martyred our 26 soldiers? Not a single Naxalite has been killed yet, but 12 Pakistanis were killed, that's good, but when will you take revenge for the 26 soldiers, or will you keep playing Pakistan's false tune like this?",1,0,"0.9331427216529846,0.0668572261929512"
21,"This is true, let's agree, why didn't Mamata Banerjee allow firecrackers during Diwali? Where were all the peace messengers then?",1,0,"0.9960266351699829,0.003973426762968302"
22,"This useless, gambling government doesn't care anymore, just keep condemning.",1,0,"0.9996585845947266,0.0003414079546928406"
23,"Because the one who destroys the world like ISIS, destroys India in the same way.",1,0,"0.5141716003417969,0.4858284294605255"
24,"Atif, you must be in a lot of pain... your 7 Pakistani brothers were killed, right?",1,0,"0.9326443672180176,0.06735564023256302"
25,"Chotu, don't change your path, keep going like this, the herd moves, dogs bark, no worries, the poor side always gets its meat, you're a sharp sword on both sides, Chotu.",1,1,"0.34193503856658936,0.6580649614334106"
26,"So you won't go on a yatra, but they can.",1,0,"0.9662240147590637,0.033776044845581055"
27,"Those who call the news fake are actually scared, nothing else.",1,0,"0.9988324046134949,0.0011675495188683271"
28,Only someone against the country can say this.,1,0,"0.9992181062698364,0.0007818915764801204"
29,I'm leaving too.,1,0,"0.9875916242599487,0.012408437207341194"
30,"Only Z News anchors talk about the country, the rest just chase money.",1,0,"0.9922188520431519,0.007781110238283873"
31,"You useless people, you're fooling the country's people, our neighboring country is better, their people must be proud of their army for killing the enemy country's soldiers.You useless people of this country, drown yourselves or wait for the day Pakistanis will be killed.",1,0,"0.8946552872657776,0.10534477233886719"
32,"Brother, control your wife...",1,0,"0.7576952576637268,0.2423046976327896"
33,"Sonu sleeps outside the mosque, that's why he wakes up.",1,0,"0.8331979513168335,0.16680200397968292"
34,"Brother, during a movie release, which actor would badmouth their co-actor or actress?",1,0,"0.9989569187164307,0.0010430465918034315"
35,"Haha, boss... you live in a country where Pakistan is only shown in a bad light. Go outside India sometime, see what value Pakistanis have. Your media doesn’t show everything, check YouTube, you’ll find out.
In your country, what’s happening to Muslims?
Look at the situation in Kashmir, what your government is forcibly doing.
Let Kashmiris do what they want.
Before, only mujahideen fought, now even school kids are fighting.",1,0,"0.7616478800773621,0.23835206031799316"
36,"The media is trying to suppress the Sukma issue, I won’t say much, the public will forget Sukma, then the Pakistan issue will also fade.",1,0,"0.9973084926605225,0.00269150803796947"
37,"You were a gang of thieves, when the partition didn’t happen, the thieves started fleeing.",1,0,"0.8906614780426025,0.10933844745159149"
38,"11,000 people died?",1,0,"0.9991763234138489,0.0008236241992563009"
39,Good joke... were you sleeping at the border when 250 infiltrated?,1,0,"0.9652778506278992,0.034722138196229935"
40,"When you people get heated, why do you lose it?",1,0,"0.9984367489814758,0.0015633063158020377"
41,"It’s very sad, but 7 years ago, the same thing happened once, and the government issued strong condemnation.",1,0,"0.9998007416725159,0.00019932202121708542"
42,"Force farmers to commit suicide, waive the loans of rich businessmen.",1,0,"0.9925123453140259,0.007487711496651173"
43,"It’s okay, if someone makes a mistake, point it out, whether it’s your own or someone else.People should understand that the one pointing out your mistake is your well-wisher, not your enemy, they want you to work properly.",1,0,"0.9995419979095459,0.00045797816710546613"
44,"What happens at the border, the public doesn’t get to know, why is that?",1,0,"0.9991198182106018,0.0008801955846138299"
45,"Don’t do this, or your actors will starve, living off India’s scraps 😂😂😂.",1,1,"0.3031992018222809,0.6968008279800415"
46,"If you put a PM of any country in danger, even superpowers bow at their feet, what do you frogs in a well know?",1,0,"0.9965046644210815,0.0034953923895955086"
47,"What was your father doing? How many scams did he pull while you were getting your mom humiliated, you mullah?",1,1,"0.034188080579042435,0.9658119678497314"
48,"Those who were praying for his victory, I feel sorry for those poor souls 😂😂😂.",1,0,"0.9990326166152954,0.0009674080647528172"
49,"Look at the Pakistani army’s audacity too, what else can they do?",1,0,"0.9231345057487488,0.07686550170183182"
50,Don’t deposit money in the bank 😊😊😀😀.,1,0,"0.9960798621177673,0.003920098301023245"
51,"How long will we keep begging for mercy from Pakistan? J&K is ours, why is Pakistan acting as it pleases?
Why hasn’t Pakistan’s arrogance been crushed yet?",1,0,"0.7870610356330872,0.2129390388727188"
52,"Prepare for war, before Modi’s 5 years are up, war is certain in the last year.",1,0,"0.9927916526794434,0.007208399474620819"
